Name,Country,Overall_Score,Rank,A_Score,B_Score,C_Score,Time,PlaceCat,Region,Event,Gender,B_Score_Cat,A_Ded_Cnt,Nandu_Miss,Nandu_Total,Nandu_Completed
Zhizhao Chang,CHN,9.7,1,5,2.7,2,1.4,Gold,China,Changquan (Longfist),M,Superior,0,0,9,100%
Achmad Hulaefi,INA,9.64,2,5,2.64,2,1.26,Top10,Asia,Changquan (Longfist),M,Superior,0,0,12,100%
Pavel Muratov,RUS,9.63,3,5,2.63,2,1.25,Top10,Russia,Changquan (Longfist),M,Superior,0,0,11,100%
Wai Kin Yeap,MAS,9.62,4,5,2.62,2,1.41,Top10,Asia,Changquan (Longfist),M,Superior,0,0,12,100%
Hibiki Betto,JPN,9.58,5,5,2.58,2,1.27,Top10,Asia,Changquan (Longfist),M,Superior,0,0,12,100%
Si Wei Jowen,SGP,9.56,6,5,2.56,2,1.4,Top10,Asia,Changquan (Longfist),M,Superior,0,0,12,100%
Yi Xiang Yong,SGP,9.54,7,5,2.54,2,1.4,Top10,Asia,Changquan (Longfist),M,Superior,0,0,12,100%
Tsz Hong Lau,HKG,9.52,8,5,2.52,2,1.34,Top10,Asia,Changquan (Longfist),M,Superior,0,0,12,100%
Hasung Lee,KOR,9.51,9,4.9,2.61,2,1.3,Top10,Asia,Changquan (Longfist),M,Superior,1,0,13,100%
Yonghyun Lee,KOR,9.48,10,4.9,2.58,2,1.38,Top10,Asia,Changquan (Longfist),M,Superior,1,0,12,100%
Brian Wang,USA,9.45,11,5,2.45,2,1.34,Top20,America,Changquan (Longfist),M,Average,0,0,12,100%
Weng Son Wong,MAS,9.44,12,5,2.64,1.8,1.37,Top20,Asia,Changquan (Longfist),M,Superior,0,1,10,90%
Chi Kuan Song,MAC,9.42,13,4.8,2.62,2,1.26,Top20,Asia,Changquan (Longfist),M,Superior,2,0,10,100%
Seungjae Cho,KOR,9.39,14,4.8,2.59,2,1.37,Top20,Asia,Changquan (Longfist),M,Superior,2,0,12,100%
Anjul Namdeo,IND,9.38,15,4.9,2.48,2,1.28,Top20,Asia,Changquan (Longfist),M,Average,1,0,12,100%
Henry Yuji Nakata,BRA,9.3,16,4.9,2.4,2,1.4,Top20,America,Changquan (Longfist),M,Average,1,0,12,100%
Arstan Urazov,KAZ,9.25,17,4.8,2.45,2,1.24,Top20,MiddleEast,Changquan (Longfist),M,Average,2,0,14,100%
Illias Khusnutdinov,RUS,9.22,18,4.6,2.62,2,1.38,Top20,Russia,Changquan (Longfist),M,Superior,4,0,11,100%
Sergey Badrutdinov,RUS,9.21,19,4.8,2.56,1.85,1.25,Top20,Russia,Changquan (Longfist),M,Superior,2,1,11,91%
Xuan Hiep Tran,VIE,9.2,20,4.6,2.6,2,1.29,Top20,Asia,Changquan (Longfist),M,Superior,4,0,10,100%
Chen Ming Wang,TPE,9.19,21,4.8,2.54,1.85,1.44,Top30,Asia,Changquan (Longfist),M,Superior,2,1,12,92%
Chirag Sharma,IND,9.18,22,4.7,2.48,2,1.27,Top30,Asia,Changquan (Longfist),M,Average,3,0,13,100%
Nok In Wu,MAC,9.14,23,4.6,2.54,2,1.35,Top30,Asia,Changquan (Longfist),M,Superior,4,0,12,100%
Luis Felipe Alvarez Rosas,MEX,9.11,24,4.7,2.41,2,1.24,Top30,America,Changquan (Longfist),M,Average,3,0,11,100%
Amir Mohammadrezaei Arrehkamar,IRI,9.1,25,4.6,2.5,2,1.42,Top30,MiddleEast,Changquan (Longfist),M,Average,4,0,12,100%
Brandon Porfirio Da Silva,BRA,9.08,26,4.6,2.48,2,1.34,Top30,America,Changquan (Longfist),M,Average,4,0,12,100%
Zhe Xuan Etienne Lee,SGP,9.06,27,5,2.51,1.55,1.33,Top30,Asia,Changquan (Longfist),M,Superior,0,2,12,83%
Edgar Xavier Marvelo,INA,8.97,28,4.7,2.57,1.7,1.28,Top30,Asia,Changquan (Longfist),M,Superior,3,2,11,82%
Sean Sumida,BRA,8.95,29,4.5,2.45,2,1.35,Top30,America,Changquan (Longfist),M,Average,5,0,12,100%
Juan Carlos Gomez Perez,MEX,8.94,30,4.6,2.34,2,1.33,Top30,America,Changquan (Longfist),M,Average,4,0,12,100%
Jason Chen-Leung,CAN,8.92,31,4.6,2.47,1.85,1.43,Top40,America,Changquan (Longfist),M,Average,4,1,12,92%
Mattia Demaria,ITA,8.9,32,4.5,2.4,2,1.3,Top40,Europe,Changquan (Longfist),M,Average,5,0,11,100%
Marcio De Oliveira Coutinho,BRA,8.89,33,4.5,2.39,2,1.26,Top40,America,Changquan (Longfist),M,Average,5,0,12,100%
Luis Alberto Carachure De Jesus,MEX,8.85,34,4.6,2.4,1.85,1.39,Top40,America,Changquan (Longfist),M,Average,4,1,12,92%
